Capacity,Bundle Diameter,Thread Size,Number of Knockouts,Adhesive Material,Color Rendering Index (CRI),Number of Ports,Nominal Discharge Current,Lamp Type,Hub Diameter,Cable Type,Tube Size,Timing Range,Operating Cycles,Number of Lamps,Number of Wires,Roll Length,Manufacturer,Interrupt Rating,Point Size,Box Type,Family,Dimmable,Temperature Range,Cutout,Enclosure,Head Type,Lamp Base,Cord Size,Wall Thickness,Cord Length,Tab Size,Beam Type,Display Type,Packaging Type,Minimum Operating Temperature,Feed Type,Point Type,Thread Type,Designation,Gauge Thickness,Fixture Wattage,Tungsten Rating,Pressure Rating,Color Temperature,Short Circuit Current Rating,TYPE,Tap Quantity,Number of Jaws,Slot Spacing,Drive Type,Nominal Size,Dimensions,Jacket Material,Trip Type,Hub Size,Plug Type,Environmental Conditions,Mounting Orientation,Roll Width,Humidity Range,Tensile Strength,Schedule Rating,End Style,Number of Conductors,Stages Heat,Horsepower,Composition,Adhesion Strength,Overall Length,Total Harmonic Distortion,Cover Type,Barrel Type,Number of Heads,Drive Size,Grade,Series,Duct Diameter,Specific Gravity,Housing Width,Length,Type,Flange Width,Price,Outside Diameter,Minimum Starting Temperature,Voltage Rating,Fixture Type,Knockout Size,Tongue Size,Supplier,Actuator,Power Source,Hole Size,Grille Length,Hex Size,Motion Sensing,Gauge,Tap Size,Stud Size,Bar Length,Conductor Size,UPC,Light Color,Start Type,Container Size,Electrical Ratings,Pipe Size,Specifications,Standard Pack,Lock Mechanism,Wire Type,Light Output,Cable Size,Action,Number of Hubs,Number of Gangs,Size,Module Type,Flange Thickness,Rod Size,Spring Type,Sensor Type,Grit,Housing Height,Bolt Hole Size,Contact Configuration,Wire Size,Fan Motor Wattage,Orientation,Number of Cables,Strands,Number of Outlets,Maximum Operating Temperature,Average Life,Stages Cool,Enclosure Type,Mounting Type,Cable Openings,Material Type,Conductor Material,Receptacle Type,url,On Hand,Method of Manufacture,Resistance,Fitting/Connector Type,Operational Mode,Current/Amps,Category,AC Cable Size,Actuator Type,Insulation Material,Color,Air Flow Rate,Housing Material,Core Diameter,Sones,Specifications Met,Grille Material,Ballast Type,Nipple Type,Slot Size,Ballast Factor,Phase,Number of Poles,NEMA Rating,Trade Size,Power Rating,Insulated/Non-Insulated,Head Size,Contact Form,Lumens,Seal Material,Bolt Circle Diameter,Connection Type,Number of Holes,Angle,Suitable For Use With,Description,Flexibility,Frequency Rating,Coil Voltage,Construction,Main/Run Size,Conductor Type,Title,Legend Color,Diameter,Number of Pieces,Ceiling Opening,Control Range,Flow Rate,Number of Stages,Staple Size,Terminal Type,Operation Mode,Cable Tap,Supplemental Files,Number of Bolt Holes,Recommended Torque,Housing Length,Humidity Sensing,Backing Material,Ballast Load,Terminal Designations,Insulated,Lamp Base Type,Wattage,KSCdirect Part #,Container Type,Cord Diameter,Legend,Thickness,Maximum Steady Load,Depth,Details,Insulation Type,Average Ft,Bend Radius,Length Through Hub,Pressure Class,Connector Type,Cleat Type,Sensitivity,Bar Width,Coating Thickness,Domestic/Import,Differential,Incandescent Equivalent,Inside Diameter,Flammability Rating,Radius,End Connection Type,Measurement System,Mounting,Shell Style,Lamp Wattage,Barrel Size,Peak Surge Current,image,Insulation,Grille Width,Finish,MFG Part #,Abrasive Material,Liner Material,Time Setting,Diameter - Thread Size,Amperage Rating,Lamp Finish,Width,Shape,Jacket Color,Height,Form,Load Capacity,Contact Rating,Hub Type,Control,Housing Finish,Run Size,Flash Point,Dielectric Strength,Cable Entry Size,Material,Fan Switching,Temperature Rating,Thermostat Type,Working Pressure,Class,Lighting Technology,Power Factor,Connection,Odor/Scent,Conduit Size
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,,3/4 in,,,,,,,,,,,SCH 40/STD,FNPT,,,,,,,,,,,,,FIG 1101,,,,,Standard,,$3.34,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,69029134632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90%2BBLK%2B3%252F4/ASC%2BEngineered%2BSolutions_3%252F4%2BBLK%2BMI%2B150%2523%2B90%2BELL,2900,,,90 deg Elbow,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 BLK MI 150# 90 ELL,,,,,,,3/4 BLK MI 150# 90 ELL,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4111256,,,,,,,,,,,90 BLK 3/4,,,,,,,"Description
Anvil® Pipe Elbow, Standard, Series: FIG 1101, Fitting/Connector Type: 90 deg Elbow, 3/4 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,,,150 lb,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20BLK%203%2F4&mdx=300,,,Black Oxide,0310001003,,,,,,,,,,,,,,,,,,,,,Malleable Iron,,-20 to 150 deg F,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,,1 x 3/4 in,,,,,,,,,,,,MNPT x FNPT,,,,,,,,,,,,,FIG 383,,,,,Hex Head,,$4.73,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,69029134744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2BBLK%2B1X3%252F4/ASC%2BEngineered%2BSolutions_1%2BX%2B3%252F4%2BBLK%2BMI%2B125%2523%2BHEX%2BBUSHING,960,,,Bushing,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 X 3/4 BLK MI 125# HEX BUSHING,,,,,,,1 X 3/4 BLK MI 125# HEX BUSHING,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4159894,,,,,,,,,,,BUSH BLK 1X3/4,,,,,,,"Description
Anvil® Pipe Bushing, Hex Head, Series: FIG 383, Bushing Fitting/Connector, 1 x 3/4 in Nominal, MNPT x FNPT End Style, 150 lb Pressure Class, 300 psi Pressure, Cast Iron, Black Oxide, -20 to 150 deg F, Domestic/Import: Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,,,150 lb,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20BLK%201X3%2F4&mdx=300,,,Black Oxide,0318906641,,,,,,,,,,,,,,,,,,,,,Cast Iron,,-20 to 150 deg F,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 in,,,,,,,,,,,SCH 40/STD,,,,,,,,,,,,,,,,,,Close,,,$2.38,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,64444400141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B3%252F4XCL/ASC%2BEngineered%2BSolutions_3%252F4%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,992,,,,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 X CL SCH40 BLK PIPE NIPPLE,,,,,,,3/4 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4114095,,,,,,,,,,,NIP BLK 3/4XCL,,,,,,,"Description
Anvil® Pipe Nipple, 3/4 in Nominal Size, Close Length, SCH 40/STD, Steel, Black, Domestic",,,,,,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%203%2F4XCL&mdx=300,,,Black,34XCSBN,,,,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,,1 in,,,,,,,,,,,SCH 40/STD,FNPT,,,,,,,,,,,,,FIG 1101,,,,,Standard,,$5.81,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,69029134633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90%2BBLK%2B1/ASC%2BEngineered%2BSolutions_1%2BBLK%2BMI%2B150%2523%2B90%2BELL,1915,,,90 deg Elbow,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 BLK MI 150# 90 ELL,,,,,,,1 BLK MI 150# 90 ELL,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4180000,,,,,,,,,,,90 BLK 1,,,,,,,"Description
Anvil® Pipe Elbow, Standard, Series: FIG 1101, Fitting/Connector Type: 90 deg Elbow, 1 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,,,150 lb,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20BLK%201&mdx=300,,,Black Oxide,0310001201,,,,,,,,,,,,,,,,,,,,,Malleable Iron,,-20 to 150 deg F,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,,1/2 in,,,,,,,,,,,SCH 40/STD,FNPT,,,,,,,,,,,,,FIG 1101,,,,,Standard,,$2.77,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,69029134631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90%2BBLK%2B1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2BBLK%2BMI%2B150%2523%2B90%2BELL,1161,,,90 deg Elbow,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 BLK MI 150# 90 ELL,,,,,,,1/2 BLK MI 150# 90 ELL,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4187039,,,,,,,,,,,90 BLK 1/2,,,,,,,"Description
Anvil® Pipe Elbow, Standard, Series: FIG 1101, Fitting/Connector Type: 90 deg Elbow, 1/2 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,,,150 lb,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20BLK%201%2F2&mdx=300,,,Black Oxide,0310000807,,,,,,,,,,,,,,,,,,,,,Malleable Iron,,-20 to 150 deg F,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,,1/2 in,,,,,,,,,,,SCH 40/STD,FNPT,,,,,,,,,,,,,FIG 1105,,,,,,,$3.71,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,69029134566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/TEE%2BBLK%2B1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2BBLK%2BMI%2B150%2523%2BTEE,759,,,Tee,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 BLK MI 150# TEE,,,,,,,1/2 BLK MI 150# TEE,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4195344,,,,,,,,,,,TEE BLK 1/2,,,,,,,"Description
Anvil® Straight Pipe Tee, Series: FIG 1105, Fitting/Connector Type: Tee, 1/2 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,,,150 lb,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=TEE%20BLK%201%2F2&mdx=300,,,Black Oxide,0310029806,,,,,,,,,,,,,,,,,,,,,Malleable Iron,,-20 to 150 deg F,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 in,2-3/8 in OD,,,,,,,,,,SCH 40/STD,MNPT,,,,,,,,,,,,,FIG 339,,,,2 in,Standard,,$7.33,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,64444400278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B2XCL/ASC%2BEngineered%2BSolutions_2%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,603,Welded,,,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 X CL SCH40 BLK PIPE NIPPLE,,,,,,,2 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4130977,,,,,,,,,,,NIP BLK 2XCL,,,,,,,"Description
Beck® Pipe Nipple, Standard, Series: FIG 339, 2 in Nominal Size, MNPT, 2 in Length, SCH 40/STD, Welded, Steel, Black, 2-3/8 in OD
Standards/Approval:
ASME B1.20.1",,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%202XCL&mdx=300,,,Black,2XCSBN,,,,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 in,1.315 in OD,,,,,,,,,,SCH 40/STD,MNPT,,,,,,,,,,,,,FIG 339,,,,1-1/2 in,Standard,,$3.42,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,64444400176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B1XCL/ASC%2BEngineered%2BSolutions_1%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,1164,Welded,,,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 X CL SCH40 BLK PIPE NIPPLE,,,,,,,1 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4208966,,,,,,,,,,,NIP BLK 1XCL,,,,,,,"Description
Beck® Pipe Nipple, Standard, Series: FIG 339, 1 in Nominal Size, MNPT, 1-1/2 in Length, SCH 40/STD, Welded, Steel, Black, 1.315 in OD
Standards/Approval:
ASME B1.20.1",,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%201XCL&mdx=300,,,Black,1XCSBN,,,,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,
,,,,,,,,,,,,,,,,,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,,,,,0.154 in,,,,,,,,,,,,,,,,,,,,,,2 in,,,,,,,,,,,SCH 40/STD,Plain,,,,,,,,,,,,,,,,,10 ft,,,$0.94,2-3/8 in,,,,,,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,,,,,098248518302,,,,,,"ASTM F891, NSF Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/PIPE%2BCELL%2B2X10/CRESLINE%2BPLASTIC%2BPIPE%2BCOMPANY_2%2BCELL%2BCORE%2BPIPE%2B10%2527%2BLENGTH%2B51830%2B%2B%2B%25281670%2529,8300,,,,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 CELL CORE PIPE 10' LENGTH 51830   (1670),,,,,,,2 CELL CORE PIPE 10' LENGTH 51830   (1670),,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4735918,,,,,,,,,,,PIPE CELL 2X10,,,,,,,"Description
CRESLINE® Cellular Core Pipe, 2 in Nominal, Plain, 2-3/8 in Outside Dia, 10 ft Length, 0.154 in Wall Thickness, SCH 40/STD, PVC, ASTM F891, NSF Approved
Features:
4 in expansion or contraction per 1000 ft per 10 deg F temperature change
1.41 specific gravity
7000 psi tensile strength
115 R-scale hardness
450 V/mil dielectric strength
Applications:
Submersible Pumps, Jet Pumps, Water Service Lines, Farm and Ranch Water Systems, Construction and Excavations, Industrial Application, Irrigation, Swimming Pools, Sprinkler Systems, Well Pipe and Casing, Municipal Water Systems
Standards/Approval:
ASTM F891
NSF Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,51830,,,,,,,,,,,,,,,,,,,,,PVC,,,,,,,,,,
,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 in,,,,,,,,,,,SCH 40/STD,,,,,,,,,,,,,,,,,,Close,,,$2.04,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,64444400106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B1%252F2XCL/ASC%2BEngineered%2BSolutions_1%252F2%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,694,,,,,,Piping & Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 X CL SCH40 BLK PIPE NIPPLE,,,,,,,1/2 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4152294,,,,,,,,,,,NIP BLK 1/2XCL,,,,,,,"Description
Anvil® Pipe Nipple, 1/2 in Nominal, Close Length, SCH 40/STD, Steel, Black, Domestic",,,,,,,,,,,Domestic,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%201%2F2XCL&mdx=300,,,Black,12XCSBN,,,,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,
