Thread Size,Cable Type,Number of Lamps,Temperature Range,RPM,Dimmable,Box Type,Head Type,Enclosure,Wall Thickness,Beam Type,"BORE 
AREA",Packaging Type,Max. Diameter,Minimum Operating Temperature,Models,End Type,Gauge Thickness,Color Temperature,Nominal Size,Hub Size,Inlet Size,Humidity Range,Tensile Strength,Shank Size,MICRONS,Overall Length,Total Harmonic Distortion,Series,Duct Diameter,Housing Width,Flange Width,Price,Voltage Rating,Fixture Type,Hex Size,Motion Sensing,Gauge,Light Color,Low Lead Compliance,Flange Thickness,Rod Size,Sensor Type,Bolt Hole Size,Fan Motor Wattage,Strands,size,Average Life,Mounting Type,Element Material,url,On Hand,Current/Amps,Category,"OPENING 
THRU 
BALL",Insulation Material,Housing Material,Grille Material,Hose Recommend,Nipple Type,Slot Size,Power Rating,Insulated/Non-Insulated,Connection Type,Min. Diameter,Description,Flexibility,Outlet,Operation Type,Number of Pieces,Diameter,Cable Tap,Humidity Sensing,"WIRE 
DIAMETER",Model,Cord Diameter,Details,Connector Type,Thread (Female NPT),For,ELEMENT MATERIAL,Finish,Abrasive Material,Liner Material,Flow GPM,Amperage Rating,Shape,Form,Dielectric Strength,Blow-Off Size,Power Factor,Conduit Size,Capacity,Number of Knockouts,Adhesive Material,Hub Diameter,Timing Range,"VENT 
AREA",Cutout,Cord Size,OPENING,TORQUE,Outlet Size,Feed Type,BODY MATERIAL,Fixture Wattage,Pressure Rating,Short Circuit Current Rating,Tap Quantity,Drive Type,Flow Path,"GASKET 
MATERIAL",Mounting Orientation,Schedule Rating,Max. Pressure (PSI),Opening Pressure,Part Name,Stages Heat,Horse Power,Composition,Number of Heads,Frame,Length,Element Size,GPH,Tongue Size,Supplier,Actuator,Hole Size,Bolt Size,Grille Length,Media,Electrical Ratings,Start Type,Container Size,Volt,Specifications,Number of Hubs,Number of Gangs,"MAX
PSI",Style,Orientation,Number of Cables,Number of Outlets,"FEMALE 
NPT",Cable Openings,Conductor Material,Max. Output,Sones,Specifications Met,Ballast Factor,Phase,Number of Poles,Head Size,Bolt Circle Diameter,Number of Holes,Angle,Construction,Conductor Type,"EPDM REPAIR 
KIT NO",Flow Rate,Terminal Type,Operation Mode,Supplemental Files,Lamp Base Type,Part Type,KSCdirect Part #,Container Type,Body Material,Depth,Length Through Hub,Usable Length,Flammability Rating,Radius,Adapter Size,Voltage,Lamp Wattage,"PIPE 
SIZE",Peak Surge Current,Die Type,Insulation,Diameter - Thread Size,Width,Jacket Color,Control,Housing Finish,Flash Point,Ball Material,Fan Switching,Port Type,Simplex,Bundle Diameter,Number of Ports,Rate Range,RIB COLOR,Tube Size,Roll Length,Manufacturer,Point Size,Family,Lamp Base,Type of Seals,Point Type,TYPE,Number of Jaws,Dimensions,Plug Type,Roll Width,"BORE 
SIZE","MAX 
TORQUE",Max Flow GPM,MESH SIZE,Drive Size,Specific Gravity,Type,Outside Diameter,Max Pressure,Knockout Size,Bolt Material,Stud Size,Bar Length,Operation,Barbs,UPC,Ports,GPM,Pipe Size,Standard Pack,Wire Type,Coupling Recommendation1,Action,Module Type,Spring Type,Grit,Contact Configuration,Stem & Pin Material,Gph,Stages Cool,Min. Pressure (PSI),Material Type,Method of Manufacture,Resistance,AC Cable Size,Actuator Type,Width (In.),Air Flow Rate,Core Diameter,Ballast Type,"REPLACEMENT 
HANDLE",Trade Size,NEMA Rating,Contact Form,"REPAIR 
KIT",Frequency Rating,Legend Color,Ceiling Opening,Coupler Size,Number of Stages,Recommended Torque,Terminal Designations,Disc Material,Maximum Steady Load,THREAD TYPE,Pressure Class,Sensitivity,Bar Width,Coating Thickness,Domestic/Import,Incandescent Equivalent,Measurement System,Mounting,Shell Style,Grille Width,MFG Part #,Time Setting,Lamp Finish,Max. Speed,Load Capacity,Contact Rating,HP,Max. Pressure,Material,Thermostat Type,Class,Lighting Technology,Odor/Scent,"EPDM SEAL 
KIT NO",Pipe Size NPT,Color Rendering Index (CRI),Nominal Discharge Current,Inlet to Outlet Length,Lamp Type,Thread (Male NPT),Operating Cycles,Number of Wires,Cord Length,Tab Size,Display Type,Thread Type,Designation,Tungsten Rating,FITS VALVES,Softgoods Material,Slot Spacing,Jacket Material,Trip Type,Environmental Conditions,"% OPEN 
AREA",Duplex,End Style,Number of Conductors,Horsepower,Adhesion Strength,Inlet,Cover Type,Barrel Type,Depth (In.),Grade,Hand Wheel Diameter,Minimum Starting Temperature,SEAL KIT NO,Power Source,Orifice Size,Top to Inlet Center,Tap Size,Pressure,AC/DC,Conductor Size,Lock Mechanism,Inlet/Outlet,Light Output,Cable Size,Strainer,Size,Housing Height,Wire Size,Actuation Type,Maximum Operating Temperature,Flow,Enclosure Type,Receptacle Type,Operational Mode,Fitting/Connector Type,For Use with,Body Type,Color,Trim Material,Lumens,Seal Material,Max Pressure PSI,Handle Type,Suitable For Use With,Coil Voltage,Height (In.),Main/Run Size,Title,Control Range,Staple Size,Number of Bolt Holes,Housing Length,Backing Material,"MIN-MAX 
DIAMETER",Ballast Load,Insulated,Wattage,Legend,Thickness,Insulation Type,Average Ft,THREAD SIZE,Bend Radius,Cleat Type,Differential,Inside Diameter,End Connection Type,Use with,Barrel Size,image,Min Diameter,Height,Hub Type,ELEMENT SIZE,Run Size,Cable Entry Size,Temperature Rating,Working Pressure,Band Material,Connection,Interrupt Rating,"HOLE 
SIZE","FITS 
SS"
,,,,,,,,,,,,,,,,,,,3/4 in,,,,,,,,,FIG 1101,,,,$3.34,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90%2BBLK%2B3%252F4/ASC%2BEngineered%2BSolutions_3%252F4%2BBLK%2BMI%2B150%2523%2B90%2BELL,2900,,Piping & Fittings,,,,,,,,,,,,3/4 BLK MI 150# 90 ELL,,,,,,,,,,,"Description
Anvil® Pipe Elbow, Standard, Series: FIG 1101, Fitting/Connector Type: 90 deg Elbow, 3/4 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,,,Black Oxide,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,SCH 40/STD,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4111256,,,90 BLK 3/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,Standard,,,,,,,,,69029134632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Domestic,,,,,,0310001003,,,,,,,,Malleable Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 deg Elbow,,,,,,,,,,,,,3/4 BLK MI 150# 90 ELL,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20BLK%203%2F4&mdx=300,,,,,,,-20 to 150 deg F,,,,,,
,,,,,,,,,,,,,,,,,,,1 x 3/4 in,,,,,,,,,FIG 383,,,,$4.73,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BUSH%2BBLK%2B1X3%252F4/ASC%2BEngineered%2BSolutions_1%2BX%2B3%252F4%2BBLK%2BMI%2B125%2523%2BHEX%2BBUSHING,960,,Piping & Fittings,,,,,,,,,,,,1 X 3/4 BLK MI 125# HEX BUSHING,,,,,,,,,,,"Description
Anvil® Pipe Bushing, Hex Head, Series: FIG 383, Bushing Fitting/Connector, 1 x 3/4 in Nominal, MNPT x FNPT End Style, 150 lb Pressure Class, 300 psi Pressure, Cast Iron, Black Oxide, -20 to 150 deg F, Domestic/Import: Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,,,Black Oxide,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4159894,,,BUSH BLK 1X3/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,Hex Head,,,,,,,,,69029134744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Domestic,,,,,,0318906641,,,,,,,,Cast Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNPT x FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bushing,,,,,,,,,,,,,1 X 3/4 BLK MI 125# HEX BUSHING,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20BLK%201X3%2F4&mdx=300,,,,,,,-20 to 150 deg F,,,,,,
,,,,,,,,,,,,,,,,,,,3/4 in,,,,,,,,,,,,,$2.38,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B3%252F4XCL/ASC%2BEngineered%2BSolutions_3%252F4%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,992,,Piping & Fittings,,,,,,,,,,,,3/4 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,"Description
Anvil® Pipe Nipple, 3/4 in Nominal Size, Close Length, SCH 40/STD, Steel, Black, Domestic",,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,,,,,Close,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4114095,,,NIP BLK 3/4XCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,64444400141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,34XCSBN,,,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%203%2F4XCL&mdx=300,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1 in,,,,,,,,,FIG 1101,,,,$5.81,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90%2BBLK%2B1/ASC%2BEngineered%2BSolutions_1%2BBLK%2BMI%2B150%2523%2B90%2BELL,1915,,Piping & Fittings,,,,,,,,,,,,1 BLK MI 150# 90 ELL,,,,,,,,,,,"Description
Anvil® Pipe Elbow, Standard, Series: FIG 1101, Fitting/Connector Type: 90 deg Elbow, 1 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,,,Black Oxide,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,SCH 40/STD,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4180000,,,90 BLK 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,Standard,,,,,,,,,69029134633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Domestic,,,,,,0310001201,,,,,,,,Malleable Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 deg Elbow,,,,,,,,,,,,,1 BLK MI 150# 90 ELL,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20BLK%201&mdx=300,,,,,,,-20 to 150 deg F,,,,,,
,,,,,,,,,,,,,,,,,,,1/2 in,,,,,,,,,FIG 1101,,,,$2.77,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/90%2BBLK%2B1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2BBLK%2BMI%2B150%2523%2B90%2BELL,1161,,Piping & Fittings,,,,,,,,,,,,1/2 BLK MI 150# 90 ELL,,,,,,,,,,,"Description
Anvil® Pipe Elbow, Standard, Series: FIG 1101, Fitting/Connector Type: 90 deg Elbow, 1/2 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,,,Black Oxide,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,SCH 40/STD,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4187039,,,90 BLK 1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,Standard,,,,,,,,,69029134631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Domestic,,,,,,0310000807,,,,,,,,Malleable Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 deg Elbow,,,,,,,,,,,,,1/2 BLK MI 150# 90 ELL,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20BLK%201%2F2&mdx=300,,,,,,,-20 to 150 deg F,,,,,,
,,,,,,,,,,,,,,,,,,,1/2 in,,,,,,,,,FIG 1105,,,,$3.71,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/TEE%2BBLK%2B1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2BBLK%2BMI%2B150%2523%2BTEE,759,,Piping & Fittings,,,,,,,,,,,,1/2 BLK MI 150# TEE,,,,,,,,,,,"Description
Anvil® Straight Pipe Tee, Series: FIG 1105, Fitting/Connector Type: Tee, 1/2 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,,,Black Oxide,,,,,,,,,,,,,,,,,,,,,,,,,300 psi,,,,,,,SCH 40/STD,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4195344,,,TEE BLK 1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,69029134566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 lb,,,,Domestic,,,,,,0310029806,,,,,,,,Malleable Iron,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tee,,,,,,,,,,,,,1/2 BLK MI 150# TEE,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=TEE%20BLK%201%2F2&mdx=300,,,,,,,-20 to 150 deg F,,,,,,
,,,,,,,,,,,,,,,,,,,2 in,,,,,,,,,FIG 339,,,,$7.33,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B2XCL/ASC%2BEngineered%2BSolutions_2%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,603,,Piping & Fittings,,,,,,,,,,,,2 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,"Description
Beck® Pipe Nipple, Standard, Series: FIG 339, 2 in Nominal Size, MNPT, 2 in Length, SCH 40/STD, Welded, Steel, Black, 2-3/8 in OD
Standards/Approval:
ASME B1.20.1",,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,,,,,2 in,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4130977,,,NIP BLK 2XCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,2-3/8 in OD,,,,,,,,,Standard,,,,,,,,,64444400278,,,,,,,,,,,,,,,,,Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XCSBN,,,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%202XCL&mdx=300,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1 in,,,,,,,,,FIG 339,,,,$3.42,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B1XCL/ASC%2BEngineered%2BSolutions_1%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,1164,,Piping & Fittings,,,,,,,,,,,,1 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,"Description
Beck® Pipe Nipple, Standard, Series: FIG 339, 1 in Nominal Size, MNPT, 1-1/2 in Length, SCH 40/STD, Welded, Steel, Black, 1.315 in OD
Standards/Approval:
ASME B1.20.1",,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,,,,,1-1/2 in,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4208966,,,NIP BLK 1XCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,1.315 in OD,,,,,,,,,Standard,,,,,,,,,64444400176,,,,,,,,,,,,,,,,,Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1XCSBN,,,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%201XCL&mdx=300,,,,,,,,,,,,,
,,,,,,,,,0.154 in,,,,,,,,,,2 in,,,,,,,,,,,,,$0.94,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/PIPE%2BCELL%2B2X10/CRESLINE%2BPLASTIC%2BPIPE%2BCOMPANY_2%2BCELL%2BCORE%2BPIPE%2B10%2527%2BLENGTH%2B51830%2B%2B%2B%25281670%2529,8300,,Piping & Fittings,,,,,,,,,,,,2 CELL CORE PIPE 10' LENGTH 51830   (1670),,,,,,,,,,,"Description
CRESLINE® Cellular Core Pipe, 2 in Nominal, Plain, 2-3/8 in Outside Dia, 10 ft Length, 0.154 in Wall Thickness, SCH 40/STD, PVC, ASTM F891, NSF Approved
Features:
4 in expansion or contraction per 1000 ft per 10 deg F temperature change
1.41 specific gravity
7000 psi tensile strength
115 R-scale hardness
450 V/mil dielectric strength
Applications:
Submersible Pumps, Jet Pumps, Water Service Lines, Farm and Ranch Water Systems, Construction and Excavations, Industrial Application, Irrigation, Swimming Pools, Sprinkler Systems, Well Pipe and Casing, Municipal Water Systems
Standards/Approval:
ASTM F891
NSF Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,,,,,10 ft,,,,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,,,"ASTM F891, NSF Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4735918,,,PIPE CELL 2X10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,,,,,,,,,,,2-3/8 in,,,,,,,,098248518302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51830,,,,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 CELL CORE PIPE 10' LENGTH 51830   (1670),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1/2 in,,,,,,,,,,,,,$2.04,,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIP%2BBLK%2B1%252F2XCL/ASC%2BEngineered%2BSolutions_1%252F2%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,694,,Piping & Fittings,,,,,,,,,,,,1/2 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,"Description
Anvil® Pipe Nipple, 1/2 in Nominal, Close Length, SCH 40/STD, Steel, Black, Domestic",,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH 40/STD,,,,,,,,,Close,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4152294,,,NIP BLK 1/2XCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC Engineered Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,64444400106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,12XCSBN,,,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2 X CL SCH40 BLK PIPE NIPPLE,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%201%2F2XCL&mdx=300,,,,,,,,,,,,,
