Supplemental Files,Number of Bolt Holes,Recommended Torque,Overall Length,Thread Size,KSCdirect Part #,url,On Hand,Method of Manufacture,Thickness,Fitting/Connector Type,Series,Details,Depth,Hub Diameter,Category,Average Ft,Length,Type,Pressure Class,Length Through Hub,Price,Outside Diameter,Tube Size,Color,Manufacturer,Supplier,Domestic/Import,Family,Inside Diameter,Hex Size,Wall Thickness,Nipple Type,Slot Size,Class,image,UPC,Finish,Thread Type,MFG Part #,Seal Material,Bolt Circle Diameter,Connection Type,Diameter - Thread Size,Pressure Rating,Specifications,Standard Pack,Pipe Size,TYPE,Width,Angle,Description,Slot Spacing,Form,Load Capacity,Suitable For Use With,Nominal Size,Dimensions,Run Size,Title,Size,Material,Flange Thickness,Rod Size,Temperature Rating,Working Pressure,Schedule Rating,Bolt Hole Size,End Style,Connection
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4111256,,,,,90 BLK 3/4,https://kscdirect.com/item/90%2BBLK%2B3%252F4/ASC%2BEngineered%2BSolutions_3%252F4%2BBLK%2BMI%2B150%2523%2B90%2BELL,2900,,,90 deg Elbow,FIG 1101,"Description
Anvil® Pipe Elbow, Standard, Series: FIG 1101, Fitting/Connector Type: 90 deg Elbow, 3/4 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Piping & Fittings,,,Standard,150 lb,,$3.34,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20BLK%203%2F4&mdx=300,69029134632,Black Oxide,,0310001003,,,,,300 psi,,,,,,,3/4 BLK MI 150# 90 ELL,,,,,3/4 in,,,3/4 BLK MI 150# 90 ELL,,Malleable Iron,,,-20 to 150 deg F,,SCH 40/STD,,FNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4159894,,,,,BUSH BLK 1X3/4,https://kscdirect.com/item/BUSH%2BBLK%2B1X3%252F4/ASC%2BEngineered%2BSolutions_1%2BX%2B3%252F4%2BBLK%2BMI%2B125%2523%2BHEX%2BBUSHING,960,,,Bushing,FIG 383,"Description
Anvil® Pipe Bushing, Hex Head, Series: FIG 383, Bushing Fitting/Connector, 1 x 3/4 in Nominal, MNPT x FNPT End Style, 150 lb Pressure Class, 300 psi Pressure, Cast Iron, Black Oxide, -20 to 150 deg F, Domestic/Import: Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Piping & Fittings,,,Hex Head,150 lb,,$4.73,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20BLK%201X3%2F4&mdx=300,69029134744,Black Oxide,,0318906641,,,,,300 psi,,,,,,,1 X 3/4 BLK MI 125# HEX BUSHING,,,,,1 x 3/4 in,,,1 X 3/4 BLK MI 125# HEX BUSHING,,Cast Iron,,,-20 to 150 deg F,,,,MNPT x FNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4114095,,,,,NIP BLK 3/4XCL,https://kscdirect.com/item/NIP%2BBLK%2B3%252F4XCL/ASC%2BEngineered%2BSolutions_3%252F4%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,992,,,,,"Description
Anvil® Pipe Nipple, 3/4 in Nominal Size, Close Length, SCH 40/STD, Steel, Black, Domestic",,,Piping & Fittings,,Close,,,,$2.38,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%203%2F4XCL&mdx=300,64444400141,Black,,34XCSBN,,,,,,,,,,,,3/4 X CL SCH40 BLK PIPE NIPPLE,,,,,3/4 in,,,3/4 X CL SCH40 BLK PIPE NIPPLE,,Steel,,,,,SCH 40/STD,,,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4180000,,,,,90 BLK 1,https://kscdirect.com/item/90%2BBLK%2B1/ASC%2BEngineered%2BSolutions_1%2BBLK%2BMI%2B150%2523%2B90%2BELL,1915,,,90 deg Elbow,FIG 1101,"Description
Anvil® Pipe Elbow, Standard, Series: FIG 1101, Fitting/Connector Type: 90 deg Elbow, 1 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Piping & Fittings,,,Standard,150 lb,,$5.81,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20BLK%201&mdx=300,69029134633,Black Oxide,,0310001201,,,,,300 psi,,,,,,,1 BLK MI 150# 90 ELL,,,,,1 in,,,1 BLK MI 150# 90 ELL,,Malleable Iron,,,-20 to 150 deg F,,SCH 40/STD,,FNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4187039,,,,,90 BLK 1/2,https://kscdirect.com/item/90%2BBLK%2B1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2BBLK%2BMI%2B150%2523%2B90%2BELL,1161,,,90 deg Elbow,FIG 1101,"Description
Anvil® Pipe Elbow, Standard, Series: FIG 1101, Fitting/Connector Type: 90 deg Elbow, 1/2 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Piping & Fittings,,,Standard,150 lb,,$2.77,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20BLK%201%2F2&mdx=300,69029134631,Black Oxide,,0310000807,,,,,300 psi,,,,,,,1/2 BLK MI 150# 90 ELL,,,,,1/2 in,,,1/2 BLK MI 150# 90 ELL,,Malleable Iron,,,-20 to 150 deg F,,SCH 40/STD,,FNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4195344,,,,,TEE BLK 1/2,https://kscdirect.com/item/TEE%2BBLK%2B1%252F2/ASC%2BEngineered%2BSolutions_1%252F2%2BBLK%2BMI%2B150%2523%2BTEE,759,,,Tee,FIG 1105,"Description
Anvil® Straight Pipe Tee, Series: FIG 1105, Fitting/Connector Type: Tee, 1/2 in Nominal, FNPT, SCH 40/STD, 150 lb, 300 psi, Malleable Iron, Black Oxide, -20 to 150 deg F, Domestic
Features:
Malleable iron pipe fittings hold two different pipe parts together and direct  gas and liquid movement.
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Piping & Fittings,,,,150 lb,,$3.71,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=TEE%20BLK%201%2F2&mdx=300,69029134566,Black Oxide,,0310029806,,,,,300 psi,,,,,,,1/2 BLK MI 150# TEE,,,,,1/2 in,,,1/2 BLK MI 150# TEE,,Malleable Iron,,,-20 to 150 deg F,,SCH 40/STD,,FNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4130977,,,,,NIP BLK 2XCL,https://kscdirect.com/item/NIP%2BBLK%2B2XCL/ASC%2BEngineered%2BSolutions_2%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,603,Welded,,,FIG 339,"Description
Beck® Pipe Nipple, Standard, Series: FIG 339, 2 in Nominal Size, MNPT, 2 in Length, SCH 40/STD, Welded, Steel, Black, 2-3/8 in OD
Standards/Approval:
ASME B1.20.1",,,Piping & Fittings,,2 in,Standard,,,$7.33,,,,ASC Engineered Solutions,ASC Engineered Solutions,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%202XCL&mdx=300,64444400278,Black,,2XCSBN,,,,,,,,,,,,2 X CL SCH40 BLK PIPE NIPPLE,,,,,2 in,2-3/8 in OD,,2 X CL SCH40 BLK PIPE NIPPLE,,Steel,,,,,SCH 40/STD,,MNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4208966,,,,,NIP BLK 1XCL,https://kscdirect.com/item/NIP%2BBLK%2B1XCL/ASC%2BEngineered%2BSolutions_1%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,1164,Welded,,,FIG 339,"Description
Beck® Pipe Nipple, Standard, Series: FIG 339, 1 in Nominal Size, MNPT, 1-1/2 in Length, SCH 40/STD, Welded, Steel, Black, 1.315 in OD
Standards/Approval:
ASME B1.20.1",,,Piping & Fittings,,1-1/2 in,Standard,,,$3.42,,,,ASC Engineered Solutions,ASC Engineered Solutions,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%201XCL&mdx=300,64444400176,Black,,1XCSBN,,,,,,,,,,,,1 X CL SCH40 BLK PIPE NIPPLE,,,,,1 in,1.315 in OD,,1 X CL SCH40 BLK PIPE NIPPLE,,Steel,,,,,SCH 40/STD,,MNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4735918,,,,,PIPE CELL 2X10,https://kscdirect.com/item/PIPE%2BCELL%2B2X10/CRESLINE%2BPLASTIC%2BPIPE%2BCOMPANY_2%2BCELL%2BCORE%2BPIPE%2B10%2527%2BLENGTH%2B51830%2B%2B%2B%25281670%2529,8300,,,,,"Description
CRESLINE® Cellular Core Pipe, 2 in Nominal, Plain, 2-3/8 in Outside Dia, 10 ft Length, 0.154 in Wall Thickness, SCH 40/STD, PVC, ASTM F891, NSF Approved
Features:
4 in expansion or contraction per 1000 ft per 10 deg F temperature change
1.41 specific gravity
7000 psi tensile strength
115 R-scale hardness
450 V/mil dielectric strength
Applications:
Submersible Pumps, Jet Pumps, Water Service Lines, Farm and Ranch Water Systems, Construction and Excavations, Industrial Application, Irrigation, Swimming Pools, Sprinkler Systems, Well Pipe and Casing, Municipal Water Systems
Standards/Approval:
ASTM F891
NSF Approved",,,Piping & Fittings,,10 ft,,,,$0.94,2-3/8 in,,,CRESLINE PLASTIC PIPE COMPANY,CRESLINE PLASTIC PIPE COMPANY,,,,,0.154 in,,,,,098248518302,,,51830,,,,,,"ASTM F891, NSF Approved",,,,,,2 CELL CORE PIPE 10' LENGTH 51830   (1670),,,,,2 in,,,2 CELL CORE PIPE 10' LENGTH 51830   (1670),,PVC,,,,,SCH 40/STD,,Plain,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4152294,,,,,NIP BLK 1/2XCL,https://kscdirect.com/item/NIP%2BBLK%2B1%252F2XCL/ASC%2BEngineered%2BSolutions_1%252F2%2BX%2BCL%2BSCH40%2BBLK%2BPIPE%2BNIPPLE,694,,,,,"Description
Anvil® Pipe Nipple, 1/2 in Nominal, Close Length, SCH 40/STD, Steel, Black, Domestic",,,Piping & Fittings,,Close,,,,$2.04,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIP%20BLK%201%2F2XCL&mdx=300,64444400106,Black,,12XCSBN,,,,,,,,,,,,1/2 X CL SCH40 BLK PIPE NIPPLE,,,,,1/2 in,,,1/2 X CL SCH40 BLK PIPE NIPPLE,,Steel,,,,,SCH 40/STD,,,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4137255,,,,,BUSH BLK 3/4X1/2,https://kscdirect.com/item/BUSH%2BBLK%2B3%252F4X1%252F2/ASC%2BEngineered%2BSolutions_3%252F4%2BX%2B1%252F2%2BBLK%2BSTEEL%2BHEX%2BBUSHING,1177,,,Bushing,FIG 383,"Description
Anvil® Pipe Bushing, Hex Head, Series: FIG 383, Bushing Fitting/Connector, 3/4 x 1/2 in Nominal, MNPT x FNPT End Style, 150/300 lb Pressure Class, Cast Iron, Black Oxide, -20 to 150 deg F, Domestic/Import: Domestic
Features:
Small Steel Fittings to ASME C1215
Standards/Approval:
ASME B16.3
cULus Listed
FM Approved
NSF/ANSI 61",,,Piping & Fittings,,,Hex Head,150/300 lb,,$2.10,,,,ASC Engineered Solutions,ASC Engineered Solutions,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=BUSH%20BLK%203%2F4X1%2F2&mdx=300,69029134741,Black Oxide,,0318905601,,,,,,,,,,,,3/4 X 1/2 BLK STEEL HEX BUSHING,,,,,3/4 x 1/2 in,,,3/4 X 1/2 BLK STEEL HEX BUSHING,,Cast Iron,,,-20 to 150 deg F,,,,MNPT x FNPT,
https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5489717,,,,,90 PVCD 1-1/2,https://kscdirect.com/item/90%2BPVCD%2B1-1%252F2/Spears_1-1%252F2%2BPVC-DWV%2B90%2BELL%2BP300-015,411,Molded,,90 deg Elbow,P300,"Description
Spears® P300-015, P300, 90 deg Elbow Fitting/Connector, 1-1/2 in Nominal, Hub End Style, Molded Method of Manufacture, PVC, White, Domestic/Import: Domestic
Standards/Approval:
ASTM D2665
ASTM D3311
ASTM D1784
ASTM F1866
NSF 14",,,Piping & Fittings,,,,,,$2.85,,,White,Spears,Spears,Domestic,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=90%20PVCD%201-1%2F2&mdx=300,054211170991,,,P300-015,,,,,,,,,,,,1-1/2 PVC-DWV 90 ELL P300-015,,,,,1-1/2 in,,,1-1/2 PVC-DWV 90 ELL P300-015,,PVC,,,,,,,Hub,
,,,,,PIPE CELL 1-1/2X10,https://kscdirect.com/item/PIPE%2BCELL%2B1-1%252F2X10/CRESLINE%2BPLASTIC%2BPIPE%2BCOMPANY_1-1%252F2%2BCELL%2BCORE%2BPIPE%2B10%2527%2B51820,2880,,,,,"1-1/2 CELL CORE PIPE 10'
View catalog page
Keywords: CRESLI PIPE CELL 1-1/2X10  CRESLINE PLASTIC PIPE COMPANY CRESLI51820          1-1/2 CELL CORE PIPE 10
Category:
[0] => PLUMBING => PIPE & TUBING => PLASTIC PIPE => PVC CELLULAR CORE DWV PLASTIC PIPE
[1] => SUPPLIER DIRECTORY => CRESLINE PLASTIC PIPE COMPANY => PLUMBING => PIPE & TUBING => PLASTIC PIPE => PVC CELLULAR CORE DWV PLASTIC PIPE
Kelly Legacy Part Number: 4104992",,,Piping & Fittings,,,,,,$0.71,,,,CRESLINE PLASTIC PIPE COMPANY,CRESLINE PLASTIC PIPE COMPANY,,,,,,,,,,098248518203,,,51820,,,,,,,,,,,,1-1/2 CELL CORE PIPE 10' 51820,,,,,,,,1-1/2 CELL CORE PIPE 10' 51820,,,,,,,,,,
