Title,KSCdirect Part #,Price,UPC
3/4 X 3 1/2 B7 STUD W/2H NUTS,IND 3/4 X 3 1/2 B7 STUD W/2H NUTS,,
NUT BRONZE 3/4-10 5 PACK,MCM 92676A495,,
"2"" X 12"" OAL 304/321 SS BRAIDED FLEX HOSE WITH CS BUTT WELD E/E","HOSE SS FLEX 2X12""OAL",,
"1095 Spring Steel Machine Key Stock, 5/16"" x 5/16",MCM 98535A160,,
5/8 X 3 1/2 B7 STUD W/2H NUTS,IND 5/8 X 3 1/2 B7 STUD W/2H NUTS,,
"2"" 304SS BRD FLEX HOSE 84"" OAL W/150# SS FLANGE X FLOATING FLANGE",HOSE ASSY 2X7' OAL,,
"1095 Spring Steel Machine Key Stock, 1/4"" x 1/4"",",MCM 98535A150,,
drop ship to customer,JOH DROPSHIP FEE,,
"1095 Spring Steel Machine Key Stock, 3/8"" x 3/8"",",MCM 98535A170,,
7300120 OMEGA ES SERIES FLEXIBLE ELEMENT,MOT REXNORD 7300120 ES60 ELEMENT,,
"1"" NORMALLY OPEN VALVE W/EPDM SEAL, BUNA DIAPHRAGM",AQUAMATIC K521-X221-14000,,
"Bray 10"" Lug Style Bfly Valve DI body 316 ss Disc Lever-operated",BRA 311000-11010375,,
"10"" ECC PLUG VALVE, FLG, CI BODY, ANSI W/HANDWHEEL","120 SERIES ECCENTRIC PLUG VALVE 10""",,
VENDOR DROP SHIP FEE TRICO VENDOR QIA,08963928,,
ptfe lined stainless braided hose,3/8 I.D. SS BRD HOSE W/PTFE LINE,,
3.25 PISTON SEAL KIT,PARKER PK3254MA01,,
B1 ADAPTER SLEEVE 301619-71500580,BRAY 301619-71500580,,
EPOXY COATED DA ACTUATOR NEED 100 PSI TO OPERATE,BRAY 92-1280-532,,
"6”ID(6.625”) Style 0038 Coupling Gasket 1/2""",DRE 3038-0002-011,,
"4 valve station assembly from our old ISO 5599-1 541 series, with 5/2 Singl",AVE AVI1A0000088932,,
"24"" STRAIGHT WAND,NO GRIP 6000PSI RATING 1/4"" MPT",DUL NP ST003-24,,
"2""X36"" OAL SS BRD FLEX HOSE W/SS HEX MPT E/E, W/TAG, PRES@70F,MFG,DATE","HOSE SS FLEX 2X36""",,
"IMP FLG 600 BLIND 10""",FLG 600 BLIND 10 IMP,,
"18"" STRAIGHT WAND,NO GRIP 6000PSI RATING 1/4"" MPT",DUL NP ST003-18,,
"1-1/4X 61.10"" SS FLX HOSE; 1-1/4 MPT SWIVE X 1-1/2 SANITARY TRI CLAMP","FLX HOSE SS 1-1/4X61.10"" 1-1/4"" MPT SWIVEL X 1-1/2 SAN",,
"water meter gpm 1"" fpt digital",GPI TM100 GPITM10NQ9GMA,,
"1-1/2"" X 15"" OAL 304/321SS BRD FLEX HOSE W/SS FPT X SS MPT",HOSE SS FLEX 1-1/2X15 OAL,,
"1-1/4X48"" S.S. 304 FLEX HOSE W/UNION ENDS","FLX HOSE SS80 304 UNION ENDS 1-1/4X48""",,
"2"" X 48"" OAL 304/321 SS BRD FLEX HOSE W/SS HEX MPT X 2"" 150 SS FLOATING FLG",HOSE SS FLEX 2X48 MXFLG,,
"1/4"" X 62"" SS BRD FLEX HOSE, W/1/4"" SS HEX MPT X SS FJX 3/8 SS HEX MPT ADPT","HOSE SS FLEX 1/4X62"" OAL",,
STD BW IMP 45 IMP,IMP 5 STD 45,,
3/4 RF FLANGE CAP MODEL 310 ARMSTRONG TRAP,HUG ARPCAP310FF,,
"4"" X 18"" OAL SS BRD FLEX HOSE W/150# SS RF FIXED FLG X FLOATING FLG",HOSE SS FLEX 4X18 OAL F/F,,
"STUD B7 W/2H NUT FOR 2""","IND STUD B7 W/2H NUT FOR 2""",,
FLG 150 FF BLIND 3,IND FLG 150 FF BLIND 3,,
"STUD 1/2""x2-3/4"" B7 W 2 NUTS",IND STUD 1/2X2-3/4 B7 W/NUT,,
1 X 5 B7 STUD W/2H NUTS,IND 1 X 5 B7 STUD W/2H NUTS,,
"catalog 66 1/1 a,b st",HUB 0220-03513,,
1/2 CONVAL Y GLOBE STOP SW SA182 F22 BODY YOKE,HUG 0.50 12G2J-F223C-STK11 VALVE,,
1/2 CD-33 STEAM TRAP,HUG A21484,,
"1-1/2"" ISOLATION VALVE",MAR PIV-70-150/200,,
SIGHT GLASS REPAIR KIT,JOH OPW891BRK,,
Parker Seal Kit,KRI RK0400K000,,
27X2 TAPER METRIC TAP,MCM 26015A361,,
3/4 ISOLATION VALVE,MAR PIV-60-075/075,,
"Steel Castor 6"" Dia 3"" Wide",MCM 2307T81,,
"1"" ISOLATION VALVE",MAR PIV-70-100/125,,
"Rubber Coated 304 SS U-Bolt for 3"" Pipe 1/2""-13 Thread Size",MCM 30555T46,,
Jaw Style Roller Chain puller 80-240 T-handle,MCM 6052K16,,
#10 ZINC PLATED JACK CHAIN,MCM 3603T41,,
flx mtl 1x10 mpt,MID FLX MTL SS80 1X10 MPT,,
2x24''FLEX METAL LINES,MID FLEXXMTL 3/4X24''SS 3/4FJX BOTH ENDS,,
"Oval-Shaped Threaded Connecting Link, Zinc-Plated Steel, 1/2"" Thickness, 9/","MCM 8947T23 1/2"" OVAL-SHAPED THREADED CONNECTING LINK, ZINC-PLATED STEEL",,
1-1/4x18 ss flex mtl mpt,MID FLX MTL SS80 1-1/4X18 MPT,,
"12"" VICTAULIC #30 45 DEG WYE LATERAL PAINTED","MID 12"" VICTAULIC #30 45 DEG WYE LATERAL PAINTED",,
SS 1-1/4X24'' MPT X MPT SWIVEL EACH END,MID FLX MT SS 1-1/4X24''1-1/4NPT MALE +1-1/4 NPT MALE SWIVEL,,
"Alloy Steel Cup-Point Set Screw, M20 x 2.5 mm Thread, 20 mm Long",MCM 91390A210,,
"3""x20' flex metal hose with SS mp ends","MID FLEX METAL HOSE 3""X20' SS MP ENDS",,
"1-1/2""x20ft flex metal hose with MPxMP ends",MID FLEX METAL HOSE 1-1/2X20FT,,
